lat,long,,lat,long
40.8631288,-77.8350582,,408631288,-778350581
40.8631288,-77.8350582,,408631288,-778350581
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.8631287,-77.8350582,,408631287,-778350580
40.863126,-77.8350582,,408631260,-778350564
40.8631256,-77.8350582,,408631256,-778350560
40.8631252,-77.8350582,,408631252,-778350560
40.8631248,-77.8350582,,408631248,-778350556
40.8631243,-77.8350582,,408631243,-778350552
40.8631239,-77.8350582,,408631239,-778350550
40.8631233,-77.8350582,,408631233,-778350546
40.8631226,-77.8350582,,408631226,-778350544
40.8631222,-77.8350582,,408631222,-778350541
40.8631217,-77.8350582,,408631217,-778350538
40.863121,-77.8350582,,408631210,-778350545
40.8631205,-77.8350582,,408631205,-778350543
40.86312,-77.8350582,,408631200,-778350540
40.8631195,-77.8350582,,408631195,-778350537
40.8631192,-77.8350582,,408631192,-778350534
40.8631187,-77.8350582,,408631187,-778350533
40.8631183,-77.8350582,,408631183,-778350531
40.8631181,-77.8350582,,408631181,-778350527
40.8631176,-77.8350582,,408631176,-778350525
40.8631176,-77.8350582,,408631176,-778350525
40.8631161,-77.8350582,,408631161,-778350515
40.8631163,-77.8350582,,408631163,-778350515
40.8631162,-77.8350582,,408631162,-778350515
40.8631163,-77.8350582,,408631163,-778350516
40.8631165,-77.8350582,,408631165,-778350517
40.8631166,-77.8350582,,408631166,-778350518
40.8631164,-77.8350582,,408631164,-778350517
40.8631164,-77.8350582,,408631164,-778350518
40.8631163,-77.8350582,,408631163,-778350518
40.863116,-77.8350582,,408631160,-778350517
40.8631162,-77.8350582,,408631162,-778350506
40.8631162,-77.8350582,,408631162,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631161,-77.8350582,,408631161,-778350506
40.8631119,-77.8350582,,408631119,-778350481
40.8631111,-77.8350582,,408631111,-778350478
40.8631104,-77.8350582,,408631104,-778350474
40.8631097,-77.8350582,,408631097,-778350469
40.8631089,-77.8350582,,408631089,-778350465
40.863108,-77.8350582,,408631080,-778350459
40.8631073,-77.8350582,,408631073,-778350456
40.8631067,-77.8350582,,408631067,-778350450
40.8631061,-77.8350582,,408631061,-778350447
40.8631057,-77.8350582,,408631057,-778350443
40.8631052,-77.8350582,,408631052,-778350435
40.8631046,-77.8350582,,408631046,-778350429
40.8631038,-77.8350582,,408631038,-778350424
40.8631031,-77.8350582,,408631031,-778350420
40.8631023,-77.8350582,,408631023,-778350416
40.8631016,-77.8350582,,408631016,-778350411
40.8631008,-77.8350582,,408631008,-778350405
40.8631003,-77.8350582,,408631003,-778350402
40.8630996,-77.8350582,,408630996,-778350396
40.863099,-77.8350582,,408630990,-778350391
40.8630999,-77.8350582,,408630999,-778350402
40.8630992,-77.8350582,,408630992,-778350399
40.8630986,-77.8350582,,408630986,-778350394
40.8630982,-77.8350582,,408630982,-778350390
40.8630976,-77.8350582,,408630976,-778350388
40.8630971,-77.8350582,,408630971,-778350384
40.8630966,-77.8350582,,408630966,-778350379
40.863096,-77.8350582,,408630960,-778350374
40.8630954,-77.8350582,,408630954,-778350371
40.8630948,-77.8350582,,408630948,-778350366
40.8630939,-77.8350582,,408630939,-778350352
40.8630933,-77.8350582,,408630933,-778350348
40.8630926,-77.8350582,,408630926,-778350345
40.8630919,-77.8350582,,408630919,-778350338
40.8630912,-77.8350582,,408630912,-778350333
40.8630904,-77.8350582,,408630904,-778350328
40.8630896,-77.8350582,,408630896,-778350322
40.8630886,-77.8350582,,408630886,-778350317
40.8630878,-77.8350582,,408630878,-778350308
40.8630867,-77.8350582,,408630867,-778350303
40.8630848,-77.8350582,,408630848,-778350289
40.8630838,-77.8350582,,408630838,-778350280
40.8630827,-77.8350582,,408630827,-778350272
40.8630817,-77.8350582,,408630817,-778350266
40.8630807,-77.8350582,,408630807,-778350260
40.8630798,-77.8350582,,408630798,-778350249
40.8630785,-77.8350582,,408630785,-778350242
40.8630774,-77.8350582,,408630774,-778350231
40.8630764,-77.8350582,,408630764,-778350224
40.8630754,-77.8350582,,408630754,-778350216
40.8630753,-77.8350582,,408630753,-778350217
40.8630742,-77.8350582,,408630742,-778350210
40.8630734,-77.8350582,,408630734,-778350204
40.8630724,-77.8350582,,408630724,-778350197
40.8630716,-77.8350582,,408630716,-778350187
40.8630706,-77.8350582,,408630706,-778350181
40.8630699,-77.8350582,,408630699,-778350176
40.8630689,-77.8350582,,408630689,-778350169
40.863068,-77.8350582,,408630680,-778350160
40.8630671,-77.8350582,,408630671,-778350153
40.8630655,-77.8350582,,408630655,-778350154
40.8630648,-77.8350582,,408630648,-778350147
40.8630637,-77.8350582,,408630637,-778350138
40.8630628,-77.8350582,,408630628,-778350131
40.8630617,-77.8350582,,408630617,-778350123
40.8630607,-77.8350582,,408630607,-778350116
40.8630599,-77.8350582,,408630599,-778350105
40.8630589,-77.8350582,,408630589,-778350102
40.8630579,-77.8350582,,408630579,-778350095
40.8630571,-77.8350582,,408630571,-778350089
40.8630564,-77.8350582,,408630564,-778350086
40.8630555,-77.8350582,,408630555,-778350080
40.8630548,-77.8350582,,408630548,-778350073
40.8630539,-77.8350582,,408630539,-778350066
40.8630529,-77.8350582,,408630529,-778350058
40.8630522,-77.8350582,,408630522,-778350051
40.8630512,-77.8350582,,408630512,-778350046
40.8630504,-77.8350582,,408630504,-778350038
40.8630495,-77.8350582,,408630495,-778350032
40.8630484,-77.8350582,,408630484,-778350024
40.8630478,-77.8350582,,408630478,-778350018
40.8630468,-77.8350582,,408630468,-778350011
40.8630458,-77.8350582,,408630458,-778350001
40.8630447,-77.8350582,,408630447,-778349995
40.8630437,-77.8350582,,408630437,-778349984
40.8630427,-77.8350582,,408630427,-778349976
40.8630417,-77.8350582,,408630417,-778349968
40.8630405,-77.8350582,,408630405,-778349961
40.8630394,-77.8350582,,408630394,-778349950
40.8630382,-77.8350582,,408630382,-778349941
40.8630375,-77.8350582,,408630375,-778349941
40.8630362,-77.8350582,,408630362,-778349930
40.8630362,-77.8350582,,408630362,-778349930
40.863034,-77.8350582,,408630340,-778349911
40.863034,-77.8350582,,408630340,-778349911
40.8630327,-77.8350582,,408630327,-778349901
40.8630317,-77.8350582,,408630317,-778349892
40.8630294,-77.8350582,,408630294,-778349876
40.8630283,-77.8350582,,408630283,-778349866
40.8630283,-77.8350582,,408630283,-778349866
40.8630264,-77.8350582,,408630264,-778349850
40.8630264,-77.8350582,,408630264,-778349850
40.8630241,-77.8350582,,408630241,-778349832
40.8630241,-77.8350582,,408630241,-778349832
40.8630221,-77.8350582,,408630221,-778349815
40.8630221,-77.8350582,,408630221,-778349815
40.8630211,-77.8350582,,408630211,-778349803
40.8630201,-77.8350582,,408630201,-778349794
40.8630191,-77.8350582,,408630191,-778349790
40.8630181,-77.8350582,,408630181,-778349783
40.8630171,-77.8350582,,408630171,-778349772
40.8630164,-77.8350582,,408630164,-778349767
40.8630154,-77.8350582,,408630154,-778349759
40.8630144,-77.8350582,,408630144,-778349752
40.8630133,-77.8350582,,408630133,-778349743
40.8630122,-77.8350582,,408630122,-778349735
40.8630111,-77.8350582,,408630111,-778349728
40.8630099,-77.8350582,,408630099,-778349717
40.8630089,-77.8350582,,408630089,-778349709
40.8630078,-77.8350582,,408630078,-778349701
40.8630068,-77.8350582,,408630068,-778349694
40.8630054,-77.8350582,,408630054,-778349690
40.8630041,-77.8350582,,408630041,-778349684
40.8630032,-77.8350582,,408630032,-778349676
40.8630021,-77.8350582,,408630021,-778349668
40.8630009,-77.8350582,,408630009,-778349661
40.8629997,-77.8350582,,408629997,-778349653
40.8629985,-77.8350582,,408629985,-778349646
40.8629973,-77.8350582,,408629973,-778349638
40.8629963,-77.8350582,,408629963,-778349630
40.8629951,-77.8350582,,408629951,-778349624
40.8629939,-77.8350582,,408629939,-778349612
40.8629925,-77.8350582,,408629925,-778349605
40.8629914,-77.8350582,,408629914,-778349599
40.8629901,-77.8350582,,408629901,-778349593
40.8629885,-77.8350582,,408629885,-778349586
40.8629874,-77.8350582,,408629874,-778349581
40.8629857,-77.8350582,,408629857,-778349576
40.8629844,-77.8350582,,408629844,-778349569
40.8629834,-77.8350582,,408629834,-778349563
40.8629806,-77.8350582,,408629806,-778349560
40.8629806,-77.8350582,,408629806,-778349560
40.862978,-77.8350582,,408629780,-778349555
40.862978,-77.8350582,,408629780,-778349555
40.8629767,-77.8350582,,408629767,-778349553
40.8629753,-77.8350582,,408629753,-778349549
40.862974,-77.8350582,,408629740,-778349548
40.8629724,-77.8350582,,408629724,-778349548
40.8629712,-77.8350582,,408629712,-778349544
40.8629697,-77.8350582,,408629697,-778349542
40.8629684,-77.8350582,,408629684,-778349541
40.8629669,-77.8350582,,408629669,-778349545
40.8629655,-77.8350582,,408629655,-778349544
40.8629642,-77.8350582,,408629642,-778349544
40.8629627,-77.8350582,,408629627,-778349545
40.8629613,-77.8350582,,408629613,-778349545
40.8629599,-77.8350582,,408629599,-778349548
40.8629584,-77.8350582,,408629584,-778349548
40.8629568,-77.8350582,,408629568,-778349550
40.8629555,-77.8350582,,408629555,-778349555
40.862954,-77.8350582,,408629540,-778349559
40.8629525,-77.8350582,,408629525,-778349555
40.8629511,-77.8350582,,408629511,-778349559
40.8629499,-77.8350582,,408629499,-778349564
40.8629486,-77.8350582,,408629486,-778349572
40.8629471,-77.8350582,,408629471,-778349577
40.8629457,-77.8350582,,408629457,-778349583
40.8629442,-77.8350582,,408629442,-778349588
40.8629431,-77.8350582,,408629431,-778349595
40.8629416,-77.8350582,,408629416,-778349604
40.8629403,-77.8350582,,408629403,-778349610
40.8629391,-77.8350582,,408629391,-778349617
40.8629378,-77.8350582,,408629378,-778349624
40.8629365,-77.8350582,,408629365,-778349637
40.8629353,-77.8350582,,408629353,-778349648
40.8629337,-77.8350582,,408629337,-778349653
40.8629325,-77.8350582,,408629325,-778349666
40.8629312,-77.8350582,,408629312,-778349679
40.8629301,-77.8350582,,408629301,-778349687
40.8629291,-77.8350582,,408629291,-778349699
40.8629277,-77.8350582,,408629277,-778349707
40.8629268,-77.8350582,,408629268,-778349715
40.8629257,-77.8350582,,408629257,-778349727
40.8629248,-77.8350582,,408629248,-778349735
40.8629238,-77.8350582,,408629238,-778349744
40.8629232,-77.8350582,,408629232,-778349754
40.8629227,-77.8350582,,408629227,-778349764
40.8629221,-77.8350582,,408629221,-778349773
40.8629217,-77.8350582,,408629217,-778349778
40.8629213,-77.8350582,,408629213,-778349782
40.8629208,-77.8350582,,408629208,-778349786
40.862921,-77.8350582,,408629210,-778349787
40.862921,-77.8350582,,408629210,-778349791
40.8629209,-77.8350582,,408629209,-778349793
40.8629208,-77.8350582,,408629208,-778349794
40.8629207,-77.8350582,,408629207,-778349793
40.8629209,-77.8350582,,408629209,-778349796
40.8629211,-77.8350582,,408629211,-778349794
40.8629212,-77.8350582,,408629212,-778349792
40.8629212,-77.8350582,,408629212,-778349794
40.8629213,-77.8350582,,408629213,-778349796
40.8629212,-77.8350582,,408629212,-778349802
40.8629214,-77.8350582,,408629214,-778349799
40.8629214,-77.8350582,,408629214,-778349800
40.8629214,-77.8350582,,408629214,-778349800
40.8629213,-77.8350582,,408629213,-778349800
40.8629213,-77.8350582,,408629213,-778349799
40.8629212,-77.8350582,,408629212,-778349798
40.8629211,-77.8350582,,408629211,-778349798
40.8629213,-77.8350582,,408629213,-778349799
40.8629213,-77.8350582,,408629213,-778349799
40.8629212,-77.8350582,,408629212,-778349805
40.8629212,-77.8350582,,408629212,-778349805
40.8629212,-77.8350582,,408629212,-778349805
40.8629212,-77.8350582,,408629212,-778349805
40.8629211,-77.8350582,,408629211,-778349805
40.8629211,-77.8350582,,408629211,-778349805
40.8629211,-77.8350582,,408629211,-778349805
40.8629211,-77.8350582,,408629211,-778349805
40.8629211,-77.8350582,,408629211,-778349805
40.8629211,-77.8350582,,408629211,-778349804
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349803
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629211,-77.8350582,,408629211,-778349802
40.8629229,-77.8350582,,408629229,-778349779
40.8629235,-77.8350582,,408629235,-778349775
40.8629238,-77.8350582,,408629238,-778349769
40.8629243,-77.8350582,,408629243,-778349764
40.8629248,-77.8350582,,408629248,-778349760
40.8629251,-77.8350582,,408629251,-778349754
40.8629256,-77.8350582,,408629256,-778349748
40.8629259,-77.8350582,,408629259,-778349741
40.8629265,-77.8350582,,408629265,-778349736
40.862927,-77.8350582,,408629270,-778349730
40.8629287,-77.8350582,,408629287,-778349739
40.8629293,-77.8350582,,408629293,-778349733
40.8629297,-77.8350582,,408629297,-778349725
40.8629303,-77.8350582,,408629303,-778349718
40.8629308,-77.8350582,,408629308,-778349712
40.8629315,-77.8350582,,408629315,-778349706
40.862932,-77.8350582,,408629320,-778349698
40.8629326,-77.8350582,,408629326,-778349691
40.8629333,-77.8350582,,408629333,-778349684
40.8629333,-77.8350582,,408629333,-778349684
40.8629346,-77.8350582,,408629346,-778349656
40.8629355,-77.8350582,,408629355,-778349648
40.8629359,-77.8350582,,408629359,-778349639
40.8629367,-77.8350582,,408629367,-778349632
40.8629372,-77.8350582,,408629372,-778349624
40.862938,-77.8350582,,408629380,-778349613
40.8629386,-77.8350582,,408629386,-778349606
40.8629393,-77.8350582,,408629393,-778349597
40.8629401,-77.8350582,,408629401,-778349589
40.8629408,-77.8350582,,408629408,-778349579
40.8629429,-77.8350582,,408629429,-778349577
40.8629434,-77.8350582,,408629434,-778349566
40.8629443,-77.8350582,,408629443,-778349558
40.8629443,-77.8350582,,408629443,-778349558
40.8629454,-77.8350582,,408629454,-778349538
40.862946,-77.8350582,,408629460,-778349529
40.8629468,-77.8350582,,408629468,-778349520
40.8629468,-77.8350582,,408629468,-778349520
40.8629474,-77.8350582,,408629474,-778349511
40.8629481,-77.8350582,,408629481,-778349500
40.8629489,-77.8350582,,408629489,-778349490
40.8629489,-77.8350582,,408629489,-778349450
40.8629498,-77.8350582,,408629498,-778349436
40.8629509,-77.8350582,,408629509,-778349422
40.8629531,-77.8350582,,408629531,-778349377
40.8629531,-77.8350582,,408629531,-778349377
40.8629545,-77.8350582,,408629545,-778349356
40.8629564,-77.8350582,,408629564,-778349327
40.8629579,-77.8350582,,408629579,-778349300
40.862961,-77.8350582,,408629610,-778349236
40.8629621,-77.8350582,,408629621,-778349193
40.8629637,-77.8350582,,408629637,-778349151
40.8629637,-77.8350582,,408629637,-778349151
40.8629651,-77.8350582,,408629651,-778349109
40.8629669,-77.8350582,,408629669,-778349070
40.8629696,-77.8350582,,408629696,-778348975
40.8629708,-77.8350582,,408629708,-778348922
40.8629718,-77.8350582,,408629718,-778348874
40.8629731,-77.8350582,,408629731,-778348818
40.862974,-77.8350582,,408629740,-778348765
40.8629755,-77.8350582,,408629755,-778348723
40.8629755,-77.8350582,,408629755,-778348649
40.8629757,-77.8350582,,408629757,-778348581
40.8629758,-77.8350582,,408629758,-778348516
40.8629758,-77.8350582,,408629758,-778348451
40.8629754,-77.8350582,,408629754,-778348383
40.8629753,-77.8350582,,408629753,-778348313
40.8629751,-77.8350582,,408629751,-778348243
40.8629746,-77.8350582,,408629746,-778348170
40.862974,-77.8350582,,408629740,-778348093
40.8629726,-77.8350582,,408629726,-778348021
40.8629712,-77.8350582,,408629712,-778347932
40.8629703,-77.8350582,,408629703,-778347853
40.8629691,-77.8350582,,408629691,-778347770
40.8629676,-77.8350582,,408629676,-778347688
40.8629662,-77.8350582,,408629662,-778347604
40.8629645,-77.8350582,,408629645,-778347518
40.8629631,-77.8350582,,408629631,-778347438
40.8629611,-77.8350582,,408629611,-778347350
40.8629594,-77.8350582,,408629594,-778347266
40.862955,-77.8350582,,408629550,-778347098
40.8629532,-77.8350582,,408629532,-778347016
40.8629514,-77.8350582,,408629514,-778346931
40.8629492,-77.8350582,,408629492,-778346849
40.8629473,-77.8350582,,408629473,-778346766
40.8629473,-77.8350582,,408629473,-778346766
40.8629451,-77.8350582,,408629451,-778346684
40.8629428,-77.8350582,,408629428,-778346599
40.8629408,-77.8350582,,408629408,-778346518
40.8629383,-77.8350582,,408629383,-778346433
40.862937,-77.8350582,,408629370,-778346360
40.8629346,-77.8350582,,408629346,-778346274
40.8629322,-77.8350582,,408629322,-778346190
40.8629299,-77.8350582,,408629299,-778346107
40.8629276,-77.8350582,,408629276,-778346024
40.8629252,-77.8350582,,408629252,-778345943
40.8629233,-77.8350582,,408629233,-778345860
40.862921,-77.8350582,,408629210,-778345779
40.8629185,-77.8350582,,408629185,-778345695
40.8629164,-77.8350582,,408629164,-778345614
40.8629144,-77.8350582,,408629144,-778345544
40.8629123,-77.8350582,,408629123,-778345463
40.8629102,-77.8350582,,408629102,-778345383
40.8629082,-77.8350582,,408629082,-778345301
40.8629041,-77.8350582,,408629041,-778345142
40.862902,-77.8350582,,408629020,-778345061
40.8629001,-77.8350582,,408629001,-778344985
40.8628984,-77.8350582,,408628984,-778344906
40.8628967,-77.8350582,,408628967,-778344829
40.8628947,-77.8350582,,408628947,-778344758
40.862893,-77.8350582,,408628930,-778344683
40.8628913,-77.8350582,,408628913,-778344606
40.8628899,-77.8350582,,408628899,-778344531
40.8628884,-77.8350582,,408628884,-778344453
40.8628868,-77.8350582,,408628868,-778344379
40.8628852,-77.8350582,,408628852,-778344305
40.8628841,-77.8350582,,408628841,-778344231
40.8628827,-77.8350582,,408628827,-778344157
40.8628815,-77.8350582,,408628815,-778344083
40.86288,-77.8350582,,408628800,-778344006
40.8628792,-77.8350582,,408628792,-778343935
40.862878,-77.8350582,,408628780,-778343862
40.8628768,-77.8350582,,408628768,-778343789
40.8628757,-77.8350582,,408628757,-778343715
40.8628747,-77.8350582,,408628747,-778343643
40.8628738,-77.8350582,,408628738,-778343570
40.8628729,-77.8350582,,408628729,-778343498
40.862872,-77.8350582,,408628720,-778343428
40.8628712,-77.8350582,,408628712,-778343355
40.8628705,-77.8350582,,408628705,-778343286
40.86287,-77.8350582,,408628700,-778343215
40.8628692,-77.8350582,,408628692,-778343145
40.8628686,-77.8350582,,408628686,-778343073
40.8628681,-77.8350582,,408628681,-778343004
40.8628675,-77.8350582,,408628675,-778342935
40.862867,-77.8350582,,408628670,-778342864
40.8628666,-77.8350582,,408628666,-778342798
40.8628663,-77.8350582,,408628663,-778342728
40.8628659,-77.8350582,,408628659,-778342659
40.8628655,-77.8350582,,408628655,-778342592
40.8628653,-77.8350582,,408628653,-778342526
40.8628651,-77.8350582,,408628651,-778342458
40.8628651,-77.8350582,,408628651,-778342392
40.862865,-77.8350582,,408628650,-778342325
40.862865,-77.8350582,,408628650,-778342259
40.8628653,-77.8350582,,408628653,-778342190
40.8628654,-77.8350582,,408628654,-778342126
40.8628654,-77.8350582,,408628654,-778342060
40.8628659,-77.8350582,,408628659,-778341996
40.8628652,-77.8350582,,408628652,-778341934
40.8628656,-77.8350582,,408628656,-778341874
40.8628667,-77.8350582,,408628667,-778341812
40.8628674,-77.8350582,,408628674,-778341747
40.862868,-77.8350582,,408628680,-778341689
40.8628696,-77.8350582,,408628696,-778341567
40.8628707,-77.8350582,,408628707,-778341503
40.8628727,-77.8350582,,408628727,-778341383
40.8628729,-77.8350582,,408628729,-778341323
40.862876,-77.8350582,,408628760,-778341210
40.8628772,-77.8350582,,408628772,-778341152
40.8628805,-77.8350582,,408628805,-778341038
40.8629045,-77.8350582,,408629045,-778340447
40.8629073,-77.8350582,,408629073,-778340390
